,Player,Pick,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player,Bust
386,Dee Brown,46,PG,dee-brown,2006,-1.009604074,0.000579799,0.104696193,0.34227821799999997,0.552445791
387,Ronnie Brewer,14,SG,ronnie-brewer,2006,0.4266451,0.08904323900000001,0.356336544,0.165396502,0.389223715
388,Paul Millsap,47,PF,paul-millsap,2006,-0.03897581,0.006100948,0.31509892300000003,0.326262406,0.35253772299999997
389,Morris Almond,25,SG,morris-almond,2007,-1.200478712,0.002363498,0.029448476,0.385681847,0.582506179
390,Herbert Hill,55,PF,herbert-hill,2007,-1.3033180009999998,0.0,0.038268486000000004,0.330349186,0.6313823270000001
391,Kosta Koufos,23,C,kosta-koufos,2008,-0.353931926,0.00433145,0.208757062,0.45612052700000005,0.33079096
392,Eric Maynor,20,PG,eric-maynor,2009,-0.733756748,0.006645888000000001,0.184251275,0.290184827,0.51891801
393,Goran Suton,50,C,goran-suton,2009,-1.125833707,0.000443708,0.066697109,0.366315699,0.566543483
394,Gordon Hayward,9,SF,gordon-hayward,2010,0.72594309,0.094128564,0.43240109200000004,0.175132438,0.298337907
395,Jeremy Evans,55,SF,jeremy-evans,2010,-1.111428694,0.0,0.050158747000000004,0.39729652600000004,0.552544727
396,Alec Burks,12,SG,alec-burks,2011,-0.062542276,0.037322606,0.26609705699999997,0.34871020700000005,0.34787013
397,Kevin Murphy,47,SF,2-kevin-murphy,2012,-1.271355995,0.0,0.026670568999999998,0.366993082,0.606336349
398,Greg Oden,1,C,greg-oden,2007,0.8226077279999999,0.126145553,0.38251829,0.16426967,0.327066487
399,Josh McRoberts,37,PF,josh-mcroberts,2007,-0.586086222,0.004396267,0.174482602,0.401204839,0.419916292
400,Derrick Byars,42,SF,derrick-byars,2007,-1.221014622,0.0,0.036271297,0.377515503,0.586213199
401,Taurean Green,52,PG,taurean-green,2007,-0.6387245979999999,0.005701675,0.17684891600000002,0.35387836200000006,0.463571048
402,Demetris Nichols,53,SF,demetris-nichols,2007,-1.193795757,0.000357952,0.037778369,0.380294105,0.581569575
403,Brandon Rush,13,SG,brandon-rush,2008,-0.477081716,0.0028764259999999996,0.17683283600000002,0.458819326,0.36147141299999996
404,Joey Dorsey,33,PF,joey-dorsey,2008,-0.892621592,0.0008426039999999999,0.07571317400000001,0.44432087299999995,0.47912334799999995
405,Mike Taylor,55,PG,mike-taylor,2008,-0.9437862220000001,0.0,0.080278527,0.39384546299999995,0.525876011
406,Dante Cunningham,33,PF,dante-cunningham,2009,-1.1656094190000001,0.000479618,0.037291431,0.40231170299999996,0.559917248
407,Jon Brockman,38,PF,jon-brockman,2009,-1.060147498,0.000823025,0.062209875,0.400535309,0.53643179
408,Patrick Mills,55,PG,patrick-mills,2009,-1.046642294,0.002622341,0.11131412,0.295145797,0.590917743
409,Elliot Williams,22,SG,elliot-williams,2010,-0.895236058,0.006140385999999999,0.115528589,0.367824136,0.51050689
410,Armon Johnson,34,PG,armon-johnson,2010,-1.203256753,0.000584224,0.047609862,0.35893359399999997,0.592872321
411,Frank Williams,25,PG,frank-williams,2002,-1.229498459,0.001889565,0.056416004000000006,0.317025169,0.6246692629999999
412,Vincent Yarbrough,32,SF,vincent-yarbrough,2002,-1.011436029,0.005233154,0.074515286,0.386031405,0.5342201560000001
413,Carmelo Anthony,3,SF,carmelo-anthony,2003,0.364009849,0.077252843,0.414720035,0.12338145199999999,0.38464566899999997
414,Jameer Nelson,20,PG,jameer-nelson,2004,-0.464669978,0.007934699,0.252683799,0.269949595,0.46943190700000004
415,Julius Hodge,20,SG,julius-hodge,2005,-1.048042665,0.004732534,0.049506594,0.42384204,0.521918831
416,Jarrett Jack,22,PG,jarrett-jack,2005,-0.886282158,0.0019251370000000002,0.156885336,0.287860218,0.55332931
417,Leon Powe,49,PF,leon-powe,2006,-0.97880805,0.001077039,0.08933676,0.39336923700000004,0.516216963
418,Brook Lopez,10,C,brook-lopez,2008,0.277650471,0.080688429,0.31131828100000003,0.257076023,0.350917266
419,Ryan Anderson,21,PF,ryan-anderson,2008,-0.14599499,0.010848848000000001,0.2701932,0.395168925,0.32378902800000003
420,Chris Douglas-Roberts,40,SG,chris-douglas-roberts,2008,-1.037290462,0.0026095529999999997,0.073049005,0.41502612,0.5093153220000001
421,Terrence Williams,11,SG,terrence-williams,2009,-0.817641528,0.003468635,0.13362796400000002,0.37290472,0.489998682
422,Markieff Morris,13,PF,markieff-morris,2011,-0.522158069,0.004485966,0.166648312,0.470599272,0.35826645
423,Kendall Marshall,13,PG,kendall-marshall,2012,-0.545690813,0.001415434,0.208683597,0.33463658,0.45526438799999996
424,David Harrison,29,C,david-harrison,2004,-1.211165707,0.00017036299999999998,0.076917737,0.321102237,0.6018096629999999
425,Rashad Wright,59,PG,rashad-wright,2004,-1.23156559,0.000156964,0.059531707999999996,0.321470349,0.618840979
426,Danny Granger,17,SF,danny-granger,2005,0.21001805399999998,0.065360607,0.31451764,0.245216653,0.37490509899999996
427,Erazem Lorbek,46,PF,erazem-lorbek,2005,-1.083814826,0.001388889,0.075185185,0.363101852,0.560324074
428,Shawne Williams,17,SF,shawne-williams,2006,-0.6879875670000001,0.001300578,0.191979769,0.344653179,0.462066474
429,Alexander Johnson,45,PF,alexander-johnson,2006,-1.3108454920000001,0.00034264800000000003,0.025417757000000003,0.33552235,0.638717245
430,Jerryd Bayless,11,PG,jerryd-bayless,2008,-0.19704033199999998,0.046471860999999996,0.278917749,0.254978355,0.419632035
431,Tyler Hansbrough,13,PF,tyler-hansbrough,2009,-0.7912413220000001,0.004337323,0.171382862,0.34910380700000004,0.475176008
432,A.J. Price,52,PG,aj-price,2009,-1.011308838,0.000326679,0.08281111099999999,0.395774522,0.5210876870000001
433,Paul George,10,SF,paul-george,2010,0.37799331700000005,0.083181436,0.35406194,0.18964744600000003,0.373109178
434,Lance Stephenson,40,SG,lance-stephenson,2010,-0.502307394,0.023822256,0.19131016,0.346298065,0.43856951899999996
435,Kawhi Leonard,15,SF,kawhi-leonard,2011,0.358445678,0.073842145,0.394673473,0.17795316,0.35353122299999995
436,Myles Turner,11,PF,2-myles-turner,2015,0.076381303,0.029416667,0.335797619,0.318516667,0.316269048
437,Joseph Young,43,SG,joseph-young,2015,-1.138828781,8.03961e-05,0.04891635,0.394276343,0.55672691
438,Andrew Bogut,1,C,andrew-bogut,2005,0.292890937,0.071469166,0.320787449,0.237761143,0.369982242
439,Ramon Sessions,56,PG,ramon-sessions,2007,-0.896731202,0.000494475,0.139291981,0.322416324,0.53779722
440,Stephen Curry,7,PG,stephen-curry,2009,0.152117249,0.082506676,0.297707412,0.187768291,0.43201762
441,Ekpe Udoh,6,PF,ekpe-udoh,2010,-0.692344897,0.003001657,0.149671534,0.414818956,0.43250785399999997
442,Klay Thompson,11,SG,klay-thompson,2011,-0.410841192,0.011865495,0.18193394100000002,0.424087255,0.382113309
443,Charles Jenkins,44,PG,charles-jenkins,2011,-1.244158579,0.0,0.029552812999999997,0.357113019,0.613334168
444,Kenneth Faried,22,PF,kenneth-faried,2011,-0.077723641,0.009734162,0.30010719199999997,0.337342317,0.352816329
445,Quincy Miller,38,SF,quincy-miller,2012,-0.36786030700000005,0.0082,0.23226666699999998,0.3737,0.38583333299999995
446,DeAndre Daniels,37,SF,deandre-daniels,2014,-1.271549283,0.0,0.052553569,0.297930547,0.6495158839999999
447,Xavier Thames,59,PG,xavier-thames,2014,-1.268289325,0.0,0.033606909,0.33699165600000003,0.629401435
448,Delon Wright,20,PG,delon-wright,2015,-0.666006064,0.0026507040000000003,0.169565987,0.35993691299999997,0.467846395
449,Jared Jeffries,11,SF,jared-jeffries,2002,-0.307211921,0.031251419,0.248835821,0.2652862,0.45462656
450,Juan Dixon,17,PG,juan-dixon,2002,-0.009243731,0.026276166,0.236971839,0.45914163799999996,0.277610357
451,Rod Grizzard,38,SG,rod-grizzard,2002,-1.306664779,0.0,0.021071807999999997,0.36809364,0.610834552
452,Rajon Rondo,21,PG,rajon-rondo,2006,0.8948348709999999,0.122587515,0.43248579,0.141469393,0.303457302
453,Blake Griffin,1,PF,blake-griffin,2009,0.964879632,0.138169197,0.371409383,0.171447569,0.31897385100000003
454,Chris Jefferies,27,SF,chris-jefferies,2002,-1.064138792,0.000524222,0.070607835,0.396836691,0.532031252
455,Brian Cook,24,PF,brian-cook,2003,-0.809840355,0.001997253,0.124695914,0.426679076,0.446627757
456,Luke Walton,32,SF,luke-walton,2003,-0.669809945,0.000509125,0.12298005,0.460500535,0.41601029
457,Marcus Douthit,56,PF,marcus-douthit,2004,-1.188482284,0.000138124,0.024700122999999997,0.39094351200000005,0.584218241
458,Ronny Turiaf,37,PF,ronny-turiaf,2005,-1.144349151,0.00016795900000000002,0.058691517,0.37707059,0.5640699339999999
459,Von Wafer,39,SG,von-wafer,2005,-0.470227777,0.027388715,0.20141289199999998,0.364712756,0.406485637
460,Jordan Farmar,26,PG,jordan-farmar,2006,-0.50403332,0.045649987,0.224285388,0.228155188,0.501909437
461,Javaris Crittenton,19,PG,javaris-crittenton,2007,-0.15155286099999998,0.046666667,0.30097435899999997,0.262564103,0.389794872
462,Joe Crawford,58,SG,joe-crawford,2008,-1.037005378,0.0,0.026220088,0.503200778,0.470579134
463,Toney Douglas,29,SG,toney-douglas,2009,-1.135763383,0.000376679,0.09324840599999999,0.317836893,0.588538023
464,Patrick Beverley,42,PG,patrick-beverley,2009,-0.553710535,0.003829355,0.21398140899999998,0.329854961,0.452334275
465,Chinemelu Elonu,59,PF,chinemelu-elonu,2009,-1.106791447,0.00010626,0.031079284,0.422527135,0.54628732
466,Devin Ebanks,43,SF,devin-ebanks,2010,-0.40471777600000003,0.008106143,0.218832158,0.41208139299999996,0.36098030600000003
467,Derrick Caracter,58,PF,derrick-caracter,2010,-1.1760329040000002,0.001986871,0.044370692999999996,0.34731267600000004,0.60632976
468,Darius Morris,41,PG,darius-morris,2011,-0.877368502,0.002036612,0.10731065199999999,0.36519978299999994,0.5254529520000001
469,Andrew Goudelock,46,SG,andrew-goudelock,2011,-1.100958547,0.0,0.023789072999999997,0.458182931,0.518027996
470,Ater Majok,58,PF,ater-majok,2011,-1.121020352,0.0,0.0345,0.416516667,0.548983333
471,Robert Sacre,60,C,robert-sacre,2012,-1.476022096,0.00040331300000000003,0.020722041,0.24858155899999998,0.7302930870000001
472,Ryan Kelly,48,PF,2-ryan-kelly,2013,-0.885402692,0.000120922,0.112510359,0.399197829,0.48817089
473,Julius Randle,7,PF,julius-randle,2014,0.627281437,0.08223333299999999,0.41743333299999996,0.2036,0.296733333
474,Anthony Brown,34,SG,3-anthony-brown,2015,-1.187041132,0.0,0.038678905,0.379622804,0.581698291
475,Al-Farouq Aminu,8,SF,al-farouq-aminu,2010,0.217775021,0.036851671,0.368997604,0.284532944,0.309617782
476,Willie Warren,54,PG,willie-warren,2010,-0.919818531,0.004546872,0.091156827,0.39685812299999995,0.507438179
477,Travis Leslie,47,SG,travis-leslie,2011,-0.8132012359999999,0.00462668,0.112001726,0.401183835,0.482187759
478,Damian Lillard,6,PG,damian-lillard,2012,-0.20056231300000002,0.036313508,0.259299921,0.27352202,0.43086455100000004
479,Meyers Leonard,11,C,meyers-leonard,2012,-0.49300456200000004,0.001882547,0.222535097,0.35314568700000004,0.422436669
480,Will Barton,40,SG,will-barton,2012,-0.9357758840000001,0.0,0.094512734,0.402634841,0.502852425
481,Tyshawn Taylor,41,PG,tyshawn-taylor,2012,-0.9066439070000001,0.000579555,0.102159316,0.400538469,0.49672266
482,Jeff Withey,39,C,2-jeff-withey,2013,-1.036232627,0.0,0.09802536199999999,0.361959583,0.5400150539999999
483,Grant Jerrett,40,PF,grant-jerrett,2013,-0.089439075,0.011233333,0.2963,0.3707,0.321766667
484,Rondae Hollis-Jefferson,23,SF,rondae-hollis-jefferson,2015,0.311909198,0.014589784,0.36853314299999995,0.392480667,0.22439640600000002
485,J.J. Redick,11,SG,jj-redick,2006,-0.534230627,0.008943795,0.225057833,0.32409892100000004,0.441899451
486,James Augustine,41,PF,james-augustine,2006,-0.98198068,0.001059535,0.080348111,0.420657049,0.497935305
487,Reyshawn Terry,44,SF,reyshawn-terry,2007,-0.8271420979999999,0.0004988169999999999,0.091555341,0.476973297,0.430972545
488,Courtney Lee,22,SG,courtney-lee,2008,-0.807903032,0.005284049,0.11109604199999999,0.40234613,0.481273779
489,Daniel Orton,29,C,daniel-orton,2010,-0.293619664,0.008891753,0.23799398600000002,0.43228092799999995,0.320833333
490,Stanley Robinson,59,SF,stanley-robinson,2010,-1.1169754490000001,0.000145407,0.061203165,0.385923909,0.552727518
491,DeAndre Liggins,53,SG,deandre-liggins,2011,-0.942360645,0.0,0.058761605,0.460651921,0.480586474
